character,unicode,mc,pu,ct,kr,vn,jp_go,jp_kan,jp_tou,jp_kwan,jp_other
"投","6295","du","tou2","tau4","tu,du","ddaauf","/zu(du)/","*tou*",,,
"抖","6296","tux","dou3","dau2","du","ddaaur","/tu/","tou",,,
"抗","6297","ghang,khangh","kang4","kong3","hang,gang","khangs","[1]*kou(kau)*[2]/gou(gau)/","[1]*kou(kau)*[2]*kou(kau)*",,,
"折","6298","de,cjet,zjet","zhe1,zhe2,she2","zit3,sit6,zip3","jeol,je","chieets,ddeef","/seti/","*setu*",,,
"抙","6299",,"pou2,pou1,fu1",,"bu",,"/bu/","hou",,,
"抚","629A",,"fu3",,"mu","phur,moo",,,,,
"抛","629B","phrau,phrauh","pao1",,"po","phao","/hyou(heu)/","hou(hau)",,,
"抜","629C",,"ba2",,"bal,pae",,"/bati/","/hatu/",,"*batu*",
"抝","629D",,"ao3,ao4,niu4",,"yo,uk","aor",,,,,
"択","629E",,"ze2",,"taek,yeok",,"/zyaku(dyaku)/","*taku*",,,
"抟","629F",,"tuan2",,"dan,jeon","ddoanf,chuyeen",,,,,
"抠","62A0",,"kou1",,"gu","khu",,,,,
"抡","62A1",,"lun1,lun2",,"ryun(yun),ron(non)","luaan",,,,,
"抢","62A2",,"qiang1,qiang3,cheng1",,"chang","thuwowngr,thuwowng,thuwowngs",,,,,
"抣","62A3",,"yun2",,"gyun",,,,,,
"护","62A4",,"hu4",,"ho","hooj",,,,,
"报","62A5",,"bao4",,"bo","baos",,,,,
"抦","62A6",,"bing3",,"byeong",,"/hyou(hyau)/","hei",,,
"抧","62A7","cjex","zhi3,zhai3",,"ji,jae",,,,,,
"抨","62A8","phreng","peng1","ping1(paang1,ping4)","pyeong","phanh,binhf","/hyou(hyau)/","hou(hau)",,,
"抩","62A9","nom","nan2","naam4","yeom",,,,,,
"抪","62AA","po,poh","bu4,pu1","bou3","po",,,,,,
"披","62AB","phie,phiex","pi1","pei1","pi","phi,bia","*hi*","*hi*",,,
"抬","62AC","dai","tai2","toi4","tae,dae","ddaif","[1]ti","[1]ti",,,"[2]tai"
"抭","62AD","jeux,yot","yao3,tao1","jiu5","yu,yo",,,,,,
"抮","62AE","henx","zhen3","hin2(can2,zan2)","jin",,,,,,
"抯","62AF","cra,zsiax,ciax","zha1","zaa1","jeo",,,,,,
"抰","62B0",,"yang1","joeng2","ang",,,,,,
"抱","62B1","baux","bao4","pou5,bou6,paau1","po","baox","/bou/","*hou*",,,
"抲","62B2","ha","he1,he4,qia1",,"ha,na,ta",,,,,,
"抳","62B3","nriex","ni3,ni2","ni4","ni(i)",,"/ni/","zi(di)",,,
"抴","62B4","jed,jet","ye4","jai6","seol,ye,yeol",,,,,,
"抵","62B5","tex","di3","dai2,zi2","jeo,ji","ddeer,chir","[1]/tai/[2]si","[1]*tei*[2]si",,,
"抶","62B6","thrit","chi4","cik1","jil","saats","/titi/","titu",,,
"抷","62B7",,"pi1,pei1",,"bi",,"[1]hi[2]/he/","[1]hi[2]hai",,,
"抸","62B8",,"jia1","zaap3","jap",,,,,,
"抹","62B9","muat","mo3,mo4,ma1","mut3(mut6),maat3","mal","matj","*matu*,/mati/","/batu/","/mo/",,
"抺","62BA",,"mei4",,"mae",,"mai","/bai/",,,
"抻","62BB","sjinh","chen1","can2","sin",,"[1]sin[2]tin","[1]sin[2]tin",,,
"押","62BC","qrap,krap","ya1","aap3(aat3,ngaap3,ngaat3)","ap,gap","aps","[1]/you(ehu)/[2]/kyou(kehu)/","[1]*ou(ahu)*[2]kou(kahu)",,,
"抽","62BD","thriu","chou1","cau1","chu","truwuf","*tyuu(tiu)*","*tyuu(tiu)*",,,
"抾","62BE","khi,khiap","qu1","keoi1,gip3","geop,geo",,"[1]ki[2]/kou(kohu)/","[1]ki[2]kyou(kehu)",,"[1]/kyo/",
"抿","62BF",,"min3","man5(man4)","min",,"/min/","bin",,,
"拀","62C0",,"zhu4",,"chuk",,,,,,
"拁","62C1",,"jia1,ya2",,"ga",,,,,,
"拂","62C2","phyot","fu2,bi4","fat1,bat6","bul,pil","phaats,baatj,phaatj","[1]/hoti/[2]/biti/","[1]*hutu*[2]hitu","[1]/hotu/",,
"拃","62C3","cranx","zha3",,"jan,chal",,,,,,
"拄","62C4","tryox","zhu3","zyu2","ju","truj","tyuu","tyuu",,,
"担","62C5","tanx","dan1,dan4,dan3",,"dan,geol,dam","ddam,ddamr","[1]*tan*[2]/keti/","[1]*tan*[2]ketu",,,
"拆","62C6","thrak","chai1,ca1","caak3","tak","sachs","/tyaku/","taku",,,
"拇","62C7","mux","mu3","mou5","mu","maaux","/mu/,/mo/","/bou/",,"bo",
"拈","62C8","nem","nian1","nim1(nim4),nin2","nyeom(yeom),jeom","nieem","nen(nemu)","/den(demu)/",,,
"拉","62C9","lop","la1,la2","laai1(laap6),laa1(laat6)","rap(nap)","lapj","/rou(rohu)/","rou(rahu)",,"*ra*,/ratu/",
"拊","62CA","phyox","fu3","fu2","bu","phuj","hu","hu",,,
"拋","62CB","phrau","pao1","paau1","po","phao",,,,,
"拌","62CC","phuan,buanx","ban4,pan4","bun6,pun3(pun1)","ban","banj,phan","/ban/","han",,,
"拍","62CD","phrak","pai1","paak3","bak","phachs","/hyaku/","*haku*",,"*hyou(hyau)*",
"拎","62CE","leng","lin1","ling1(ling4,ning1)","ryeong(yeong)","linh","/ryou(ryau)/","rei",,,
"拏","62CF","nra","na2","naa4","na","noa","/na/","da",,,
"拐","62D0","grex","guai3","gwaai2","goe","quair","/ge/","*kai*",,,
"拑","62D1","giem","qian2","kim4","gyeom","kieemf","/gen(gemu)/","/ken(kemu)/",,"kan",
"拒","62D2","giox","ju4","keoi5","geo,gu","cuwj,cur","/go/","*kyo*",,,
"拓","62D3","thak,cjek","tuo4,ta4,zhi2","tok3,taap3,zek3","cheok,tak","thacs,thaps,chichs","*taku*","*taku*",,,
"拔","62D4","byat,buat,bret","ba2","bat6","bal,pae","batj,booij","/bati/","/hatu/",,"*batu*",
"拕","62D5","tha,dax","tuo1",,"ta","tha","ta","ta",,,
"拖","62D6","tha,thah","tuo1","to1","ta","tha,ddaf","ta","ta",,,
"拗","62D7","qraux","ao3,ao4,niu4","aau3(ngaau3),aau2(ngaau2),juk6","yo,uk","aor,aos,nuwux,hucs","you(eu)","/ou(au)/",,,
"拘","62D8","kyo","ju1,gou1","keoi1","gu","caau,cuf","[1]ku[2]/ku/","[1]ku[2]*kou*",,,
"拙","62D9","cjyet","zhuo1","zyut3(zyut6)","jol","chuyeets","/seti/","*setu*",,,
"拚","62DA","pyonh,bienh","pan4,pin1,fan1","pun3(pun1,pun2),faan1,ping1,fan3","byeon,ban,bun","bieenj,phaans,phieen","[1]ben[2]hun[3]/hon/","[1]/hen/[2]hun[3]han",,,
"招","62DB","cjeu","zhao1","ziu1","cho,gyo,so","chieeu,thieeu,thieeuf","*syou(seu)*","*syou(seu)*",,,
"拜","62DC","praih","bai4","baai3(baai1)","bae","bais","/he/","*hai*",,,
"拝","62DD",,"bai4",,"bae",,"/he/","*hai*",,,
"拞","62DE",,"di3",,"jeo",,,,,,
"拟","62DF",,"ni3",,"ui","nghix",,,,,
"拠","62E0",,"ju4",,"geo",,"*ko*","*kyo*",,,
"拡","62E1",,"kuo4",,"hwak,hwang",,"*kaku(kwaku)*","*kaku(kwaku)*",,,
"拢","62E2",,"long3",,"rong(nong)","long",,,,,
"拣","62E3",,"jian3",,"gan","gianr,luyeens",,,,,
"拤","62E4",,"qia3",,"jap",,,,,,
"拥","62E5",,"yong1",,"ong","ungr,ung",,,,,
"拦","62E6",,"lan2",,"ran(nan)","lan",,,,,
"拧","62E7",,"ning2,ning3,ning4",,"nyeong(yeong)","ninh",,,,,
"拨","62E8",,"bo1",,"bal","bats",,,,,
"择","62E9",,"ze2,zhai2",,"taek,yeok","trachj",,,,,
"拪","62EA",,"qian1",,"cheon",,"*sen*","*sen*",,,
"拫","62EB","ghon","hen2","han4(han6)","heun",,,,,,
"括","62EC","kuat","kuo4,gua1","kut3,gwaat3","gwal","quats,hoatj","/kati(kwati)/","*katu(kwatu)*",,,
"拭","62ED","sjik","shi4","sik1","sik","thuwcs","/siki/","*syoku*",,,
"拮","62EE","kjit,ket","jie2,jia2","git3(gat1)","gil,gal","kieets,cats","[1]/kiti/[2]/keti/","[1]kitu[2]ketu",,,
"拯","62EF","cjingx","zheng3","cing2","jeung","chuwngr","/syou/","/syou/",,"zyou",
"拰","62F0","nrimx","nin3","nam5","nim(im)",,,,,,
"拱","62F1","kyungx","gong3","gung2","gong","cungr","/ku/","kyou",,,
"拲","62F2","kyungx,kyuk","gong3","gung2","gong",,"/ku/","kyou",,,
"拳","62F3","gyen","quan2","kyun4","gwon","quyeenf","/gen(gwen)/","*ken(kwen)*",,,
"拴","62F4","chyen","shuan1","saan1(cyun4)","jeon,san","thuyeen","sen","sen",,,
"拵","62F5","zuon","cun2,zun4","cyun4","jon",,"/zon/","son",,,
"拶","62F6","cuat","za1,zan3","zaat3","chal","tatj","/sati/","*satu*",,,
"拷","62F7","khaux","kao3","haau2(haau1)","go","khaor","/kou(kau)/","/kou(kau)/",,"*gou(gau)*",
"拸","62F8","je","yi2,chi3,hai4","ci2","chi,i",,,,,,
"拹","62F9","hiap","xie2","hip6","hyeop,rap(nap)",,,,,,
"拺","62FA","chrek,srek","ce4,se4,chuo4","cuk1,saak3,caak3","chaek",,,,,,
"拻","62FB",,"hui1","fui1","hoe",,,,,,
"拼","62FC","preng,pheng","pin1","ping1(ping3)","byeong","binhs,phanh","/hyou(hyau)/","hou(hau)",,,
"拽","62FD","jet","zhuai4,zhuai1,ye4","jai6","ye,yeol","dueej","[1]/e/[2]/eti/","[1]ei[2]etu",,,
"拾","62FE","zjip","shi2,she4","sap6(sip3)","seup,sip,geop,seop","thaapj,thieepj,kieepj","*zyuu(zihu)*","*syuu(sihu)*",,,
"拿","62FF","nra","na2","naa4","na","nax","/na/","da",,,
"挀","6300",,"bai1","baak3","baek",,,,,,
"持","6301","dri","chi2","ci4","ji","trif","*zi(di)*","/ti/",,,
"挂","6302","krueh","gua4","gwaa3","gwae","quair","/ke(kwe)/","/kai(kwai)/",,"kei",
"挃","6303","trit","zhi4","zat6","jil",,"/titi/","titu",,,
"挄","6304",,"kuo4,guang1",,"hwak,gwang",,,,,,"[1]kaku(kwaku)[2]kou(kwau)"
"挅","6305","tuah","duo4",,"ta","ddoar",,,,,
"挆","6306","tuax","duo3,duo4",,"ta","ddoar",,,,,
"指","6307","cjiix","zhi3","zi2","ji","chir","*si*","*si*",,,
"挈","6308","khet","qie4","kit3(hit3)","seol,gye","khieets,khees","[1]/keti/[2]/ke/","[1]ketu[2]kei",,,
"按","6309","qanh","an4","on3(ngon3)","an,al","ans","an","an",,,
"挊","630A",,"nong4",,"rong(nong)",,"/ru/","*rou*",,,
"挋","630B","cjinh","zhen4","zan3","jin",,"si","si",,,
"挌","630C","lak,krak","ge2","gaak3","gyeok,gak,hak",,"/kyaku/","kaku",,,
"挍","630D",,"jiao4","gaau3","gyo",,"/kyou(keu)/","kou(kau)",,,
"挎","630E","kho","kua4,ku1","kwaa3,fu1","go",,,,,,
"挏","630F","dung,dungx","dong4","dung6","dong",,,,,,
"挐","6310","nrio,nra","ru2,na2","naa4,jyu4,naau4","na,nyeo(yeo),nyo(yo)","noa,nuw","[1]/nyo/[2]/na/","[1]zyo(dyo)[2]da",,,
"挑","6311","theu,thau,theux,deux","tiao1,tiao3","tiu1(tiu5),tou1","do","thieeu,thieeur,khieeu","[1]/zyou(deu)/[2]*tyou(teu)*[3]tou(tau)","[1]*tyou(teu)*[2]*tyou(teu)*[3]tou(tau)",,,
"挒","6312","liet","lie4",,"ryeol(yeol)",,,,,,
"挓","6313",,"zha1","zaa1","cha",,"/tya/","ta",,,
"挔","6314",,"lv3","leoi5","ryeo(yeo)",,,,,,
"挕","6315",,"die2,she4","zip3,dip6","jeop",,,,,,
"挖","6316","qruet","wa1","waat3(waa1)","al","oatj","/eti/","atu",,,
"挗","6317",,"jue2",,"gyeol",,,,,,
"挘","6318",,"lie3",,"ryeol(yeol)",,"/e/","*ai*",,,
"挙","6319",,"ju3",,"geo",,"/ko/","*kyo*",,,
"挚","631A",,"zhi4",,"ji","chis",,,,,
"挛","631B",,"luan2",,"ryeon(yeon)","luyeen,luyeens",,,,,
"挜","631C",,"ya4,ya3",,"a",,,,,,
"挝","631D",,"zhua1,wo1",,"gwa","qua",,,,,
"挞","631E",,"ta4",,"dal","thats",,,,,
"挟","631F",,"xie2,jia1",,"hyeop","hieepj,tieepj","/gyou(gehu)/","*kyou(kehu)*",,,
"挠","6320",,"nao2",,"nyo(yo),hyo,ho","naoj",,,,,
"挡","6321",,"dang3,dang4",,"dang","ddangs,ddangr",,,,,
"挢","6322",,"jiao3",,"gyo","kieeuj,kieeur",,,,,
"挣","6323",,"zheng4,zheng1",,"jaeng","tranhs",,,,,
"挤","6324",,"ji3",,"je","teex,tee",,,,,
"挥","6325",,"hui1",,"hon,hwi","huy",,,,,
"挦","6326",,"xian2",,"jam,seom","trieem,taamf",,,,,
"挧","6327",,"yu3",,"u",,"u","u",,,
"挨","6328","qraix,qaix","ai1,ai2","aai1(ngaai1,ngoi2,oi2),ngaai4","ae","ai,air","/e/","*ai*",,,
"挩","6329","duat,thuat","tuo1,shui4","tyut3,seoi3","se,tal",,"[1]/tati/[2]/se/","[1]tatu[2]sei",,,
"挪","632A","na","nuo2","no4","na","na","/na/","da",,,
"挫","632B","cuah","cuo4","co3","jwa","toar","/sa/","/sa/",,"*za*",
"挬","632C","buot","bo2","but6","bal",,,,,,
"挭","632D","krangx","geng3","gaang3","gyeong",,"/kyou(kyau)/","kou(kau)",,,
"挮","632E","thex","ti3,ti4",,"che",,,,,,
"振","632F","cjin,cjinh","zhen4","zan3,zan1","jin","chaans,chaan","*sin*","*sin*",,,
"挰","6330","drang","cheng2",,"jeong",,,,,,
"挱","6331","sa","suo1,sha1",,"sa","sa",,,,,
"挲","6332","sa","suo1,sha1","so1,saa1","sa","sa","sa","sa",,,
"挳","6333",,"keng1,qian1","hin1,hang1","gyeong",,,,,,
"挴","6334","muaix","mei3","mui5","mae",,,,,,
"挵","6335",,"nong4",,"rong(nong)","loongj","/ru/","*rou*",,,
"挶","6336","kyuk","ju2","guk6(guk1)","guk",,"/koku/","kyoku",,,
"挷","6337",,"bang4,peng2",,"bang",,,,,,
"挸","6338","kenx","jian3","gaan2","gyeon",,,,,,
"挹","6339","qjip,qip","yi4","jap1","eup","aaps","/ou(ohu)/","yuu(ihu)",,,
"挺","633A","deng,dengx","ting3","ting5(ting2)","jeong","ddinhx","/zyou(dyau)/","tei",,"/tyou(tyau)/",
"挻","633B","sjen","shan1","sin1(saan1)","yeon,seon",,"sen","sen",,,
"挼","633C","suai","ruo2","no4","noe,na,su","noa","/sai/","/sai/","sui",,
"挽","633D","myanx","wan3","waan5","man","vanx","/mon/","ban",,,
"挾","633E","ghep","xie2,jia1","hip6(haap6,hip3),gaap3","hyeop","hieepj,tieepj","/gyou(gehu)/","*kyou(kehu)*",,,
"挿","633F",,"cha1",,"sap",,"/syou(sehu)/","*sou(sahu)*",,,
"捀","6340","byung,byungh","peng2","fung4(fung6)","bong",,,,,,
"捁","6341",,"jiao3,ku4","gaau2","gyo",,"/kyou(keu)/","kou(kau)",,,
"捂","6342","ngoh","wu3","wu2(ng6)","o","ngooj","/gu/","go",,,
"捃","6343","kyonh","jun4","kwan2(gwan3)","gun","quaans","kun","kun",,,
"捄","6344","kyo,giu","jiu4","geoi1,gau3,kau4","gu",,"[1]ku[2]/gu/","[1]ku[2]kyuu(kiu)",,,
"捅","6345","thungx","tong3","tung2","tong","thoongs",,,,,
"捆","6346",,"kun3","kwan2","gon","khoonr","kon","kon",,,
"捇","6347","hruek","huo4,chi4","cik3,waak6","hyeok,jeok",,,,,,
"捈","6348","do,tho","tu2,shu1,cha2","syu1,caa4,tou4","do,teo",,,,,,
"捉","6349","cruk","zhuo1","zuk3(zuk1)","chak","trocs","*soku*","/saku/",,,
"捊","634A","brau,bu","pou2,pou1,fu1","pau4","bu",,"/bu/","hou",,,
"捋","634B","luat","luo1,lv3","lyut3(lyut6)","ral(nal)","loats","/rati/","ratu",,,
"捌","634C","pret,prat","ba1","baat3","pal","bats","/hati/","hatu",,,
"捍","634D","ghranx,ghanh","han4","hon6(hon2,hon5)","han,gan","hanx","/gan/","kan",,,
"捎","634E","sieu,srau","shao1,shao4","saau1,siu1","so","sao,sieeus","[1]syou(seu)[2]syou(seu)","[1]/sou(sau)/[2]syou(seu)",,,
"捏","634F","net","nie1","nip6","nal","nieets","netu,/neti/","/detu/",,,
"捐","6350","jyen","juan1","gyun1","yeon","quyeen","en","en",,,
"捑","6351",,"ze4","sik6","cheuk",,,,,,
"捒","6352","srioh,sryoh","shu4,song3,sou1",,"song,so,su",,"[1]syu[2]/soku/","[1]syu[2]syoku",,,
"捓","6353",,"ye2,yu2",,"ya","da","ya","ya",,,
"捔","6354","kruk,zruk","jue2,zhuo2","gok3","gak,chak",,"[1]kaku[2]/zaku/","[1]kaku[2]saku",,,
"捕","6355","boh","bu3","bou6","po","booj","/bu/","*ho*",,,
"捖","6356","ghuan","wan2","jyun4(gwaat3)","wan,gwal",,,,,,
"捗","6357",,"bu4,pu2,zhi4","bou6,pou4,zik1","cheok,bo","dueej","/tiki/","*tyoku*",,,
"捘","6358","chyn,cuaih,cuonh","zun4","zeoi3(zeon3,zyun3)","jun","tuaans","[1]son[2]syun","[1]son[2]syun",,,
"捙","6359",,"ye4","jai6","ye",,"[1]/e/[2]/eti/","[1]ei[2]etu",,,
"捚","635A",,"zhai1","zaai1","jae",,,,,,
"捛","635B",,"lv3",,"ryeo(yeo)",,"/ro/","*ryo*",,,
"捜","635C","sriu","sou1",,"su,so",,"/syu/","*sou*",,,
"捝","635D",,"tuo1,shui4",,"tal,se",,,,,,
"捞","635E",,"lao1",,"ro(no),ryo(yo)","lao,lieeuj",,,,,
"损","635F",,"sun3",,"son","toonr",,,,,
"捠","6360","preng","bang1",,"byeong",,,,,,
"捡","6361",,"jian3",,"geom,ryeom(yeom)",,,,,,
"换","6362",,"huan4",,"hwan","hoans",,,,,
"捣","6363",,"dao3",,"do","ddaor",,,,,
"捤","6364",,"wei3",,"mi",,,,,,
"捥","6365","quanh","wan4,wan3,wan1,yu4","wun2","wan","oanr","wan","wan",,,
"捦","6366","gim","qin2",,"geum",,"/gon(gomu)/","kin(kimu)",,,
"捧","6367","phyungx","peng3","pung2(bung2,fung2)","bong","phungr","/hu/","hou",,,
"捨","6368","sjax","she3","se2","sa","xar","*sya*","*sya*",,,
"捩","6369","leh,let","lie4","lit6(leoi6),lai6","ryeol(yeol),ryeo(yeo)","lieetj,leej","[1]/reti/[2]/rai/","[1]retu[2]rei",,,
"捪","636A",,"min2",,"min",,,,,,
"捫","636B","muon","men2","mun4(mun1)","mun","moon","mon","/bon/",,,
"捬","636C",,"fu3,fu4,bu3",,"bu",,"hu","hu",,,
"捭","636D","prex","bai3","baai2","pae,byeok","baix,phachs","/he/","hai",,,
"据","636E","kio","ju4,ju1","geoi1,geoi3","geo","cuw,cuws","/ko/","kyo",,,
"捯","636F",,"dao2","dou2(dou3)","do,ju",,,,,,
"捰","6370",,"wo3,luo4,luo3","wo2","wa",,,,,,
"捱","6371","ngre","ai2","ngaai4","ae","nhai","/ge/","gai",,,
"捲","6372","gyen,kyenx,kyenh","juan3,quan2","gyun2","gwon","quyeenr,quyeenf","[1]ken(kwen)[2]/gen(gwen)/","[1]ken(kwen)[2]ken(kwen)",,,
"捳","6373","ngruk","yue4",,"ak",,,,,,
"捴","6374",,"zong3",,"chong","toongr","/su/","sou",,,
"捵","6375",,"chen1","can2,din2","jeon,nyeon(yeon)","ddieens","ten","ten",,,
"捶","6376","cjyex","chui2","ceoi4","chu,ta","chuyr","sui","sui",,,
"捷","6377","ziep","jie2","zit6(zit3)","cheop,sap","tieepj,thieepj","/zyou(zehu)/","syou(sehu)",,,
"捸","6378",,"tu1","dat6","tae",,,,,,"totu"
"捹","6379",,"ben4",,"bun",,,,,,
"捺","637A","nat","na4","naat6","nal","naij","natu,/nati/","/datu/",,,
"捻","637B","nep","nian3,nie1","nin2,nip6,nim2(nim5),nim1,nan2","nyeom(yeom),nyeop(yeop)","nieepj,nieemj,naamx","[1]/nyou(nehu)/[2]*nen(nemu)*","[1]zyou(dehu)[2]/den(demu)/",,,
"捼","637C","njyi,nuai,nua","ruo2,wei3,re2","no4","noe,na","noa","/na/","da",,,
"捽","637D","zyt,zuot","zuo2","zeot1(cyut3,zyut6)","jol","toots","/zoti/","sotu",,,
"捾","637E","quat","wo4,xia2",,"al",,,,,,
"捿","637F",,"qi1",,"seo",,"/sai/","sei",,,
"掀","6380","hian","xian1","hin1(hin3)","heun,heon","hieen,haan","/kon/","/ken/",,"kin",
"掁","6381","drang","cheng2","caang4","jaeng",,,,,,
"掂","6382","tem","dian1","dim1(dim6)","jeom","ddieem",,,,,"ten"
"掃","6383","saux,sauh","sao3,sao4","sou3(sou2)","so","taor,taos","*sou(sau)*","*sou(sau)*",,,
"掄","6384","lyn,luon","lun1,lun2","leon4","ryun(yun),ron(non)","luaan","[1]ron[2]rin","[1]ron[2]rin",,,
"掅","6385","chengh","qing4,qian4","cing3","cheong",,,,,,
"掆","6386","kang,kangh","gang1",,"gang",,,,,,
"掇","6387","tuat,tryet","duo1","zyut3","cheol","xuyeets","[1]/tati/[2]/teti/","[1]tatu[2]tetu",,,
"授","6388","zjuh","shou4","sau6","su","thuj","*zyu*","/syuu(siu)/",,,
"掉","6389","deux,deuh,nruk","diao4","diu6(deu6),zaau6","do","ddieeuj,traoj","/zyou(deu)/","/tyou(teu)/",,"tou(tau)",
"掊","638A","brau,biu,bu,pux","pou3,pou2","pau4,pau2(fau2)","bu,bae","booif,phaaur,baaux","[1]/hu/[2]/bu/","[1]hou[2]hou",,,
"掋","638B",,"di3",,"jeo",,,,,,
"掌","638C","cjangx","zhang3","zoeng2","jang","chuwowngr","*syou(syau)*","*syou(syau)*",,,
"掍","638D","ghuonx","hun4","wan6(gwan2)","hon",,,,,,
"掎","638E","kie,kiex,khieh","ji3","gei2","gi","kir","ki","ki",,,
"掏","638F","thau,dau","tao1","tou4(tou1)","do","ddaof","/dou(dau)/","tou(tau)",,,
"掐","6390","khrep","qia1","haap3","gyeop","khaps","/kyou(kehu)/","kou(kahu)",,,
"掑","6391",,"qi2","kei4","gi",,,,,,
"排","6392","brai","pai2,pai3","paai4,bik1","bae","baif","/be/","*hai*",,,
"掓","6393","sjuk","shu1",,"suk",,,,,,
"掔","6394","khren,khen","qian1,wan4","hin1(haan1)","gyeon,wan",,"[1]ken[2]ken","[1]/kan/[2]ken",,,
"掕","6395","ling","ling2",,"reung(neung)",,"ryou","ryou",,,
"掖","6396","jek","ye4,ye1","jik6(jat6)","aek","dichj","/yaku/","eki",,,
"掗","6397",,"ya4,ya3","aa3(ngaa3),ngaa6,aa2(ngaa2)","a",,,,,,
"掘","6398","gyot,gyat","jue2","gwat6","gul,gwol,jol","quaatj","[1]/goti/[2]/goti/","[1]*kutu*[2]ketu(kwetu)",,,
"掙","6399",,"zheng1,zheng4","zang1(zaang1),zaang6","jaeng","tranhs","/syou(syau)/","sou(sau)",,,
"掚","639A","liangx","liang3",,"ryang(yang)",,"/rou(rau)/","ryou(ryau)",,,
"掛","639B","krueh","gua4","gwaa3(kwaa3)","gwae","quair","/ke(kwe)/","/kai(kwai)/",,"ka(kwa)",
"掜","639C","nre,ngex","ni3,nie4,yi4","ngai5,nip6","ye","ngheex,nghieetj",,,,,
"掝","639D","hruek","huo4,xu4","6bwik1,waak6","hok",,,,,,
"掞","639E","sjemh","shan4,yan4,yan3","sim3","seom,yeom","thieemr,dieemx","[1]sen(semu)[2]en(emu)","[1]sen(semu)[2]en(emu)",,,
"掟","639F","dengh","zheng3,ding4","deng3(deng6)","jeong",,"/zyou(dyau)/","tei",,,
"掠","63A0","liangh,liak","lve4","loek6","ryak(yak)","luwowcj","[1]/raku/[2]/rou(rau)/","[1]ryaku[2]ryou(ryau)",,,
"採","63A1","chaix","cai3","coi2","chae","thair,thais","*sai*","*sai*",,,
"探","63A2","thom,thomh","tan4","taam3,taam1","tam","tham,thams","/ton(tomu)/","*tan(tamu)*",,,
"掣","63A3","chjed,chjet","che4","zai3(cit3)","che,cheol","xees,xieets","[1]/se/[2]/seti/","[1]sei[2]setu",,,
"掤","63A4","ping","bing1","bing1","bung",,"hyou","hyou",,,
"接","63A5","ciep","jie1","zip3","jeop","tieeps","/syou(sehu)/","/syou(sehu)/",,"*setu*",
"掦","63A6",,"ti4",,"cheok",,,,,,"teki"
"控","63A7","khrung,khungh","kong4","hung3","gong,gang","khoongs","/kuu/","*kou*",,,
"推","63A8","chjyi,thuai","tui1","teoi1","chu,toe","thooi,suy","[1]*sui*[2]tai","[1]*sui*[2]tai","[2]/tui/",,
"掩","63A9","qiemx","yan3","jim2","eom","yeemr","en(emu)","en(emu)",,,
"措","63AA","choh","cuo4","cou3","jo,chak,chaek,cheok","thoos,trachs","/su/","*so*",,,
"掫","63AB","cyo,cu,criux","zou1,zhou1,chou1","zau1","chu","tuwu","/su/","sou",,,
"掬","63AC","kiuk","ju1","guk1","guk","cucs","kiku","kiku",,,
"掭","63AD",,"tian4","tim3(tim5)","cheom",,,,,,"ten"
"掮","63AE","gien","qian2","kin4","gyeon","kieen",,,,,"ken"
"掯","63AF",,"ken4","kang3","geung","khawngr",,,,,"kou"
"掰","63B0","prek","bai1","baai1(baai2,mak3)","bae",,,,,,
"掱","63B1",,"pa2","paa4","su",,,,,,
"掲","63B2",,"jie1",,"ge,gal,geol",,"[1]/ke/[2]/geti/","[1]*kei*[2]ketu",,,
"掳","63B3",,"lu3",,"ro(no)","loox",,,,,
"掴","63B4",,"guo2",,"goek","quawcj,quachs","/kyaku(kwyaku)/","kaku(kwaku)",,,
"掵","63B5",,"ming4",,"myeong",,"hyou","hyou",,,
"掶","63B6",,"jie2",,"gyeong",,,,,,
"掷","63B7",,"zhi4",,"cheok","trichj",,,,,
"掸","63B8",,"dan3,shan4",,"tan,seon","ddanj,ddanf",,,,,
"掹","63B9",,"meng1",,"maeng",,,,,,
"掺","63BA",,"chan1,xian1,can4,shan3",,"seom,sam,cham",,,,,,
"掻","63BB",,"sao1",,"so,jo",,"sou(sau)","sou(sau)",,,
"掼","63BC",,"guan4",,"gwan","quans",,,,,
"掽","63BD",,"peng4","pung3","paeng","binhs",,,,,"hou(hau)"
"掾","63BE","jyenh","yuan4","jyun6","yeon,jeon","duyeenj","en","en",,,
"掿","63BF",,"nuo4",,"nak","nachj",,,,,
"揀","63C0","krenx,lenh","jian3","gaan2","gan","gianr,luyeens","/ken/","kan",,,
"揁","63C1",,"zheng1,keng1",,"jeong",,"/tyou(tyau)/","tei",,,
"揂","63C2","ciu","jiu1,you2","jau4,zau1","chu",,,,,,
"揃","63C3","cienx","jian3,jian1","zin2,zin1","jeon","tieenx","sen","sen",,,
"揄","63C4","jyo,ju,du,dux","yu2","jyu4,jau4(jiu5)","yu,yo","du","[1]yu[2]/zu(du)/[3]/yu/","[1]yu[2]tou[3]yuu(iu)",,,
"揅","63C5","ngen","yan2","jin4","yeon,hyeong","nghieen","/gen/","/gen/",,"ken",
"揆","63C6","gjyix","kui2","kwai5(kwai4)","gyu","quyx","/gi/","ki",,,
"揇","63C7","nomx","nan3","naam5","nam",,,,,,
"揈","63C8","hrueng","hong1","gwang1(fang4)","hoeng",,"/ou(wau)/","kou(kwau)",,,
"揉","63C9","nju","rou2","jau4(jau6)","yu","nhu,nhuj","/nyuu(niu)/","zyuu(ziu)",,,
